Entity,Code,parentName,rate,law
Afghanistan,AFG,Southern Asia (excluding India),28.3,1
Albania,ALB,Southern Europe,11.8,1
Algeria,DZA,Northern Africa,3.8,1
Angola,AGO,Middle Africa,30.3,1
Armenia,ARM,Western Asia,5.3,1
Azerbaijan,AZE,Western Asia,11,1
Bangladesh,BGD,Southern Asia (excluding India),51.4,0
Barbados,BRB,Caribbean,29.2,1
Belarus,BLR,Eastern Europe,5,1
Belize,BLZ,Central America,33.5,1
Benin,BEN,Western Africa,30.6,1
Bhutan,BTN,Southern Asia (excluding India),25.8,0
Bolivia,BOL,South America,19.7,0
Bosnia and Herzegovina,BIH,Southern Europe,3.5,1
Brazil,BRA,South America,26.2,0
Burkina Faso,BFA,Western Africa,51.6,0
Burundi,BDI,Eastern Africa,19,1
Cambodia,KHM,South-Eastern Asia,18.5,1
Cameroon,CMR,Middle Africa,29.8,0
Cape Verde,CPV,Western Africa,18,1
Central African Republic,CAF,Middle Africa,61,1
Chad,TCD,Middle Africa,60.6,1
Colombia,COL,South America,23.4,1
Comoros,COM,Eastern Africa,31.6,0
Congo,COG,Middle Africa,27.3,1
Costa Rica,CRI,Central America,21.2,1
Cote d'Ivoire,CIV,Western Africa,27,1
Democratic Republic of Congo,COD,Middle Africa,29.1,0
Djibouti,DJI,Eastern Africa,5.3,1
Dominican Republic,DOM,Caribbean,35.9,1
Ecuador,ECU,South America,22.2,1
Egypt,EGY,Northern Africa,17.4,0
El Salvador,SLV,Central America,25.5,1
Equatorial Guinea,GNQ,Middle Africa,29.5,1
Eritrea,ERI,Eastern Africa,40.7,1
Eswatini,SWZ,Southern Africa,5.3,0
Ethiopia,ETH,Eastern Africa,40.3,1
Finland,FIN,Northern Europe,0,0
Gabon,GAB,Middle Africa,21.9,0
Gambia,GMB,Western Africa,25.7,1
Georgia,GEO,Western Asia,13.9,1
Ghana,GHA,Western Africa,19.3,0
Guatemala,GTM,Central America,29.5,0
Guinea,GIN,Western Africa,46.5,1
Guinea-Bissau,GNB,Western Africa,25.7,1
Guyana,GUY,South America,30.2,1
Haiti,HTI,Caribbean,14.9,1
Honduras,HND,Central America,33.6,1
India,IND,Southern Asia,27.3,1
Indonesia,IDN,South-Eastern Asia,16.3,1
Iran,IRN,Southern Asia (excluding India),16.7,0
Iraq,IRQ,Western Asia,27.9,0
Jamaica,JAM,Caribbean,7.9,1
Jordan,JOR,Western Asia,9.7,1
Kazakhstan,KAZ,Central Asia,7,1
Kenya,KEN,Eastern Africa,22.9,1
Kiribati,KIR,Oceania (exc. Australia and New Zealand),18.4,1
Kyrgyzstan,KGZ,Central Asia,12.9,1
Laos,LAO,South-Eastern Asia,32.7,1
Lesotho,LSO,Southern Africa,16.4,0
Liberia,LBR,Western Africa,35.9,1
Lithuania,LTU,Northern Europe,0,1
Madagascar,MDG,Eastern Africa,40.3,0
Malawi,MWI,Eastern Africa,42.1,0
Maldives,MDV,Southern Asia (excluding India),2.2,1
Mali,MLI,Western Africa,53.7,1
Marshall Islands,MHL,Oceania (exc. Australia and New Zealand),26.3,1
Mauritania,MRT,Western Africa,37,0
Mexico,MEX,Central America,20.7,1
Moldova,MDA,Eastern Europe,12.2,1
Mongolia,MNG,Eastern Asia,12,1
Montenegro,MNE,Southern Europe,5.8,1
Morocco,MAR,Northern Africa,13.7,0
Mozambique,MOZ,Eastern Africa,52.9,1
Myanmar,MMR,South-Eastern Asia,16,0
Namibia,NAM,Southern Africa,6.9,0
Nepal,NPL,Southern Asia (excluding India),32.8,0
Nicaragua,NIC,Central America,35.2,1
Niger,NER,Western Africa,76.3,1
Nigeria,NGA,Western Africa,43.4,1
North Macedonia,MKD,Southern Europe,7.5,1
Oman,OMN,Western Asia,4,0
Pakistan,PAK,Southern Asia (excluding India),18.3,0
Palestine,PSE,Western Asia,13.4,1
Panama,PAN,Central America,26.4,1
Papua New Guinea,PNG,Oceania (exc. Australia and New Zealand),27.3,1
Paraguay,PRY,South America,21.6,1
Peru,PER,South America,17.4,1
Philippines,PHL,South-Eastern Asia,16.5,1
Qatar,QAT,Western Asia,4.2,1
Rwanda,RWA,Eastern Africa,6.8,1
Saint Lucia,LCA,Caribbean,24,1
Samoa,WSM,Oceania (exc. Australia and New Zealand),7.4,0
Sao Tome and Principe,STP,Middle Africa,28,1
Senegal,SEN,Western Africa,30.5,1
Serbia,SRB,Southern Europe,5.5,1
Sierra Leone,SLE,Western Africa,29.6,0
Singapore,SGP,South-Eastern Asia,0.1,1
Solomon Islands,SLB,Oceania (exc. Australia and New Zealand),21.3,0
South Africa,ZAF,Southern Africa,3.6,0
South Sudan,SSD,Eastern Africa,51.5,0
Sri Lanka,LKA,Southern Asia (excluding India),9.8,1
Sudan,SDN,Northern Africa,34.2,0
Suriname,SUR,South America,36,1
Tajikistan,TJK,Central Asia,8.7,1
Tanzania,TZA,Eastern Africa,30.5,1
Thailand,THA,South-Eastern Asia,20.2,1
Timor,TLS,South-Eastern Asia,14.9,1
Togo,TGO,Western Africa,24.8,0
Tonga,TON,Oceania (exc. Australia and New Zealand),10.1,0
Trinidad and Tobago,TTO,Caribbean,11.2,0
Tunisia,TUN,Northern Africa,1.5,1
Turkey,TUR,Western Asia,14.7,0
Uganda,UGA,Eastern Africa,34,0
Ukraine,UKR,Eastern Europe,9.1,1
United Kingdom,GBR,Northern Europe,0.1,1
Uruguay,URY,South America,24.6,0
Uzbekistan,UZB,Central Asia,7.2,1
Vanuatu,VUT,Oceania (exc. Australia and New Zealand),21.4,0
Vietnam,VNM,South-Eastern Asia,10.6,1
Yemen,YEM,Western Asia,31.9,0
Zambia,ZMB,Eastern Africa,29,1
Zimbabwe,ZWE,Eastern Africa,33.7,0
